"","exe_type","problem_size","run_id","metric_type","metric","value","units","resource","nodes","cpus"
"32","openmpi/sysblas/intfft","akstd",2,"statistic","Average STREAM 'Add' Memory Bandwidth","2382.88896","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"33","openmpi/sysblas/intfft","akstd",2,"statistic","Average STREAM 'Copy' Memory Bandwidth","2140.6208","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"34","openmpi/sysblas/intfft","akstd",2,"statistic","Average STREAM 'Scale' Memory Bandwidth","2293.07392","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"35","openmpi/sysblas/intfft","akstd",2,"statistic","Average STREAM 'Triad' Memory Bandwidth","2513.1008","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"36","openmpi/sysblas/intfft","akstd",2,"statistic","Fast Fourier Transform (FFTW) Floating-Point Performance","15107.2","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"37","openmpi/sysblas/intfft","akstd",2,"statistic","High Performance LINPACK Floating-Point Performance","46329.5","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"38","openmpi/sysblas/intfft","akstd",2,"statistic","High Performance LINPACK Run Time","115.13","Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"39","openmpi/sysblas/intfft","akstd",2,"statistic","MPI Random Access","258.544","MUpdate per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"40","openmpi/sysblas/intfft","akstd",2,"statistic","Parallel Matrix Transpose (PTRANS)","10578.432","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"41","openmpi/sysblas/intfft","akstd",3,"parameter","App:Version","1.5.0f",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"42","openmpi/sysblas/intfft","akstd",3,"parameter","Input:DGEMM Problem Size","1442",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"43","openmpi/sysblas/intfft","akstd",3,"parameter","Input:High Performance LINPACK Grid Cols","8",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"44","openmpi/sysblas/intfft","akstd",3,"parameter","Input:High Performance LINPACK Grid Rows","8",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"45","openmpi/sysblas/intfft","akstd",3,"parameter","Input:High Performance LINPACK Problem Size","20000",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"46","openmpi/sysblas/intfft","akstd",3,"parameter","Input:MPI Ranks","64",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"47","openmpi/sysblas/intfft","akstd",3,"parameter","Input:MPIRandom Problem Size","256.0","MWord","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"48","openmpi/sysblas/intfft","akstd",3,"parameter","Input:OpenMP Threads","0",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"49","openmpi/sysblas/intfft","akstd",3,"parameter","Input:PTRANS Problem Size","10000",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"50","openmpi/sysblas/intfft","akstd",3,"parameter","Input:STREAM Array Size","2083333","MWord","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"51","openmpi/sysblas/intfft","akstd",3,"statistic","Average Double-Precision General Matrix Multiplication (DGEMM) Floating-Point Performance","896.812","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"52","openmpi/sysblas/intfft","akstd",3,"statistic","Average STREAM 'Add' Memory Bandwidth","2365.91104","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"53","openmpi/sysblas/intfft","akstd",3,"statistic","Average STREAM 'Copy' Memory Bandwidth","2132.6848","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"54","openmpi/sysblas/intfft","akstd",3,"statistic","Average STREAM 'Scale' Memory Bandwidth","2359.02976","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"55","openmpi/sysblas/intfft","akstd",3,"statistic","Average STREAM 'Triad' Memory Bandwidth","2452.8896","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"56","openmpi/sysblas/intfft","akstd",3,"statistic","Fast Fourier Transform (FFTW) Floating-Point Performance","15221.5","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"57","openmpi/sysblas/intfft","akstd",3,"statistic","High Performance LINPACK Floating-Point Performance","46573.700000000004","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"58","openmpi/sysblas/intfft","akstd",3,"statistic","High Performance LINPACK Run Time","114.527","Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"59","openmpi/sysblas/intfft","akstd",3,"statistic","MPI Random Access","262.199","MUpdate per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"60","openmpi/sysblas/intfft","akstd",3,"statistic","Parallel Matrix Transpose (PTRANS)","11148.0832","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"61","openmpi/sysblas/intfft","akstd",4,"parameter","App:Version","1.5.0f",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"62","openmpi/sysblas/intfft","akstd",4,"parameter","Input:DGEMM Problem Size","1442",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"63","openmpi/sysblas/intfft","akstd",4,"parameter","Input:High Performance LINPACK Grid Cols","8",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"64","openmpi/sysblas/intfft","akstd",4,"parameter","Input:High Performance LINPACK Grid Rows","8",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"65","openmpi/sysblas/intfft","akstd",4,"parameter","Input:High Performance LINPACK Problem Size","20000",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"66","openmpi/sysblas/intfft","akstd",4,"parameter","Input:MPI Ranks","64",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"67","openmpi/sysblas/intfft","akstd",4,"parameter","Input:MPIRandom Problem Size","256.0","MWord","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"68","openmpi/sysblas/intfft","akstd",4,"parameter","Input:OpenMP Threads","0",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"69","openmpi/sysblas/intfft","akstd",4,"parameter","Input:PTRANS Problem Size","10000",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"70","openmpi/sysblas/intfft","akstd",4,"parameter","Input:STREAM Array Size","2083333","MWord","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"71","openmpi/sysblas/intfft","akstd",4,"statistic","Average Double-Precision General Matrix Multiplication (DGEMM) Floating-Point Performance","894.316","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"72","openmpi/sysblas/intfft","akstd",4,"statistic","Average STREAM 'Add' Memory Bandwidth","2386.78016","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"73","openmpi/sysblas/intfft","akstd",4,"statistic","Average STREAM 'Copy' Memory Bandwidth","2033.60256","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"74","openmpi/sysblas/intfft","akstd",4,"statistic","Average STREAM 'Scale' Memory Bandwidth","2323.67104","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"75","openmpi/sysblas/intfft","akstd",4,"statistic","Average STREAM 'Triad' Memory Bandwidth","2480.98816","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"76","openmpi/sysblas/intfft","akstd",4,"statistic","Fast Fourier Transform (FFTW) Floating-Point Performance","15565.300000000001","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"77","openmpi/sysblas/intfft","akstd",4,"statistic","High Performance LINPACK Floating-Point Performance","46338.299999999996","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"78","openmpi/sysblas/intfft","akstd",4,"statistic","High Performance LINPACK Run Time","115.108","Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"79","openmpi/sysblas/intfft","akstd",4,"statistic","MPI Random Access","256.036","MUpdate per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"80","openmpi/sysblas/intfft","akstd",4,"statistic","Parallel Matrix Transpose (PTRANS)","10279.1168","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"81","openmpi/sysblas/intfft","akstd",5,"parameter","App:Version","1.5.0f",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"82","openmpi/sysblas/intfft","akstd",5,"parameter","Input:DGEMM Problem Size","1442",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"83","openmpi/sysblas/intfft","akstd",5,"parameter","Input:High Performance LINPACK Grid Cols","8",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"84","openmpi/sysblas/intfft","akstd",5,"parameter","Input:High Performance LINPACK Grid Rows","8",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"85","openmpi/sysblas/intfft","akstd",5,"parameter","Input:High Performance LINPACK Problem Size","20000",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"86","openmpi/sysblas/intfft","akstd",5,"parameter","Input:MPI Ranks","64",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"87","openmpi/sysblas/intfft","akstd",5,"parameter","Input:MPIRandom Problem Size","256.0","MWord","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"88","openmpi/sysblas/intfft","akstd",5,"parameter","Input:OpenMP Threads","0",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"89","openmpi/sysblas/intfft","akstd",5,"parameter","Input:PTRANS Problem Size","10000",NA,"Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"90","openmpi/sysblas/intfft","akstd",5,"parameter","Input:STREAM Array Size","2083333","MWord","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"91","openmpi/sysblas/intfft","akstd",5,"statistic","Average Double-Precision General Matrix Multiplication (DGEMM) Floating-Point Performance","897.1179999999999","MFLOP per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"92","openmpi/sysblas/intfft","akstd",5,"statistic","Average STREAM 'Add' Memory Bandwidth","2374.08256","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"93","openmpi/sysblas/intfft","akstd",5,"statistic","Average STREAM 'Copy' Memory Bandwidth","1970.36032","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
"94","openmpi/sysblas/intfft","akstd",5,"statistic","Average STREAM 'Scale' Memory Bandwidth","2294.20032","MByte per Second","Koinu (CPU ARM ThunderX2 32(128) cores x2)",1,64
