title
"App Kernel Data"
parameters
"App Kernel = mdtest","Resource = stampede2-skx","Metric = Directory creation (single tree directory per process)","Processing Units = 1 node"
start,end
2020-11-02,2020-12-01
---------
Date,Value,Control,Changed
"2020-11-09 00:30:07",2221.571,-0.55528550070498,no
"2020-11-10 00:30:05",28115.845,0,no
"2020-11-11 00:30:07",23134.060,0,no
"2020-11-12 00:30:07",29172.688,0,no
"2020-11-13 00:30:04",27873.851,0,no
"2020-11-14 00:30:08",27859.054,0,no
"2020-11-15 00:30:06",26767.358,0,no
"2020-11-16 00:30:02",26968.218,0,no
"2020-11-17 00:30:06",27949.373,0,no
"2020-11-19 14:49:24",26869.933,0,no
"2020-11-20 00:30:07",26435.397,0,no
"2020-11-21 00:30:06",24275.969,0,no
"2020-11-22 00:30:08",28814.125,0,no
"2020-11-23 00:30:04",26213.641,0,no
"2020-11-24 00:30:05",26436.057,0,no
"2020-11-25 00:30:10",26557.958,0,no
"2020-11-26 00:30:03",18350.412,0,no
"2020-11-27 00:30:06",28954.761,0,no
"2020-11-28 00:30:03",29704.738,0,no
"2020-11-29 01:00:14",29390.724,0,no
"2020-12-01 00:58:08",29284.300,0,no
---------
title
"App Kernel Data"
parameters
"App Kernel = mdtest","Resource = stampede2-skx","Metric = File removal (single tree directory per process)","Processing Units = 1 node"
start,end
2020-11-02,2020-12-01
---------
Date,Value,Control,Changed
"2020-11-02 00:30:02",24294.269,0,no
"2020-11-03 00:30:04",31602.205,0,no
"2020-11-04 00:30:10",29971.958,0,no
"2020-11-05 00:30:18",29303.994,0,no
"2020-11-06 00:30:07",23620.389,0,no
"2020-11-07 00:30:11",22622.116,0,no
"2020-11-09 00:30:07",3032.875,-0.1529806818738,no
"2020-11-10 00:30:05",27629.679,0,no
"2020-11-11 00:30:07",20780.934,0,no
"2020-11-12 00:30:07",28372.555,0,no
"2020-11-13 00:30:04",27559.172,0,no
"2020-11-14 00:30:08",30571.913,0,no
"2020-11-15 00:30:06",28465.693,0,no
"2020-11-16 00:30:02",24908.809,0,no
"2020-11-17 00:30:06",25706.575,0,no
"2020-11-19 14:49:24",27029.929,0,no
"2020-11-20 00:30:07",22665.934,0,no
"2020-11-21 00:30:06",24305.215,0,no
"2020-11-22 00:30:08",29463.710,0,no
"2020-11-23 00:30:04",24736.183,0,no
"2020-11-24 00:30:05",27106.017,0,no
"2020-11-25 00:30:10",25752.568,0,no
"2020-11-26 00:30:03",16951.573,0,no
"2020-11-27 00:30:06",23804.000,0,no
"2020-11-28 00:30:03",26532.885,0,no
"2020-11-29 01:00:14",27375.198,0,no
"2020-12-01 00:58:08",25671.400,0,no
---------
title
"App Kernel Data"
parameters
