title
"App Kernel Data"
parameters
"App Kernel = IOR","Resource = stampede2-skx","Metric = POSIX N-to-N Read Aggregate Throughput","Processing Units = 1 node"
start,end
2020-07-25,2020-12-03
---------
Date,Value,Control,Changed
"2020-10-26 00:00:00",11155,0,no
"2020-10-27 00:00:00",10692,0,no
"2020-10-28 00:00:00",9588,0,no
"2020-10-29 00:00:00",10767,0,no
"2020-10-30 00:00:00",9831,0,no
"2020-10-31 00:00:00",10932,0,no
"2020-11-01 00:00:00",9839,0,no
"2020-11-02 00:00:00",10180,0,no
"2020-11-03 00:00:00",8435,0,no
"2020-11-04 00:00:00",6189,0,no
"2020-11-05 00:00:00",9105,0,no
"2020-11-06 00:00:00",4301,0,no
"2020-11-07 00:00:00",10347,0,no
"2020-11-08 00:00:00",10752,0,no
"2020-11-09 00:00:00",10234,0,no
"2020-11-10 00:00:00",6913,0,no
"2020-11-11 00:00:00",9807,0,no
"2020-11-12 00:00:00",9951,0,no
"2020-11-13 00:00:00",6670,0,no
"2020-11-14 00:00:00",10035,0,no
"2020-11-15 00:00:00",5690,0,no
"2020-11-16 00:00:00",3882,0,no
"2020-11-17 00:00:00",11050,0,no
"2020-11-19 00:00:00",11317,0,no
"2020-11-20 00:00:00",11145,0,no
"2020-11-21 00:00:00",11432,0,no
"2020-11-22 00:00:00",1099.61,0,no
"2020-11-23 00:00:00",8426,0,no
"2020-11-24 00:00:00",8107,0,no
"2020-11-25 00:00:00",8252,0,no
"2020-11-26 00:00:00",9553,0,no
"2020-11-27 00:00:00",5567,0,no
"2020-11-28 00:00:00",6927,0,no
"2020-11-29 00:00:00",9769,0,no
"2020-11-30 00:00:00",8118,0,no
"2020-12-01 00:00:00",8701,0,no
"2020-12-02 00:00:00",3046.54,0,no
"2020-12-03 00:00:00",8740,0,no
---------
